file,task,family,effort,sample,score,total,cost_usd,cost_estimated,duration_s,output_tokens,date,harness
e_fable_high_r2.json,E,fable,high,r2,5,5,,True,,,2026-07-23,claude-code-workflow
e_fable_low_r2.json,E,fable,low,r2,5,5,,True,,,2026-07-23,claude-code-workflow
e_haiku_high_r2.json,E,haiku,high,r2,4,5,,True,,,2026-07-23,claude-code-workflow
e_haiku_medium_selftest2.json,E,haiku,medium,selftest2,5,5,0.1271,False,217.0,23418,2026-07-25,claude-code
e_haiku_medium_selftest2b.json,E,haiku,medium,selftest2b,3,5,0.0815,False,132.9,14309,2026-07-25,claude-code
e_opus48_high_r2.json,E,opus48,high,r2,4,5,,True,,,2026-07-23,claude-code-workflow
e_opus48_xhigh_r2.json,E,opus48,xhigh,r2,5,5,,True,,,2026-07-23,claude-code-workflow
e_opus5_high_canonical.json,E,opus5,high,canonical,5,5,0.2949,False,83.9,7430,2026-07-24,claude-code-workflow
e_opus5_high_s1.json,E,opus5,high,s1,5,5,,True,,,2026-07-24,claude-code-workflow
e_opus5_high_s2.json,E,opus5,high,s2,5,5,,True,,,2026-07-24,claude-code-workflow
e_opus5_low_canonical.json,E,opus5,low,canonical,5,5,0.1285,False,32.0,2787,2026-07-24,claude-code-workflow
e_opus5_low_s1.json,E,opus5,low,s1,5,5,,True,,,2026-07-24,claude-code-workflow
e_opus5_low_s2.json,E,opus5,low,s2,5,5,,True,,,2026-07-24,claude-code-workflow
e_opus5_medium_canonical-m.json,E,opus5,medium,canonical-m,5,5,0.3374,False,98.7,6492,2026-07-24,claude-code-workflow
e_sonnet_high_r2.json,E,sonnet,high,r2,4,5,,True,,,2026-07-23,claude-code-workflow
e_sonnet_xhigh_r2.json,E,sonnet,xhigh,r2,5,5,,True,,,2026-07-23,claude-code-workflow
t10_fable_high_r3.json,T10,fable,high,r3,7,7,0.2501,False,10.4,1075,2026-07-23,claude-code-workflow
t10_fable_low_r3.json,T10,fable,low,r3,7,7,0.2362,False,9.9,797,2026-07-23,claude-code-workflow
t10_fable_max_grid.json,T10,fable,max,grid,7,7,0.3659,False,29.8,3391,2026-07-25,claude-code-workflow
t10_fable_medium_grid.json,T10,fable,medium,grid,7,7,0.2403,False,9.4,878,2026-07-25,claude-code-workflow
t10_fable_xhigh_grid.json,T10,fable,xhigh,grid,7,7,0.2694,False,13.6,1460,2026-07-25,claude-code-workflow
t10_haiku_high_r3.json,T10,haiku,high,r3,7,7,0.0177,True,58.4,4,2026-07-23,claude-code-workflow
t10_haiku_low_grid.json,T10,haiku,low,grid,4,7,0.0432,False,38.8,5095,2026-07-25,claude-code-workflow
t10_haiku_medium_selftest.json,T10,haiku,medium,selftest,7,7,0.0,False,47.0,0,2026-07-25,claude-code
t10_opus48_high_r3.json,T10,opus48,high,r3,7,7,0.1437,False,17.9,1818,2026-07-23,claude-code-workflow
t10_opus48_low_grid.json,T10,opus48,low,grid,7,7,0.1323,False,13.9,1361,2026-07-25,claude-code-workflow
t10_opus48_xhigh_grid.json,T10,opus48,xhigh,grid,7,7,0.1578,False,23.1,2382,2026-07-25,claude-code-workflow
t10_opus5_high_canonical.json,T10,opus5,high,canonical,7,7,0.0981,True,11.5,5,2026-07-24,claude-code-workflow
t10_opus5_high_s1.json,T10,opus5,high,s1,7,7,,True,,,2026-07-24,claude-code-workflow
t10_opus5_high_s2.json,T10,opus5,high,s2,7,7,,True,,,2026-07-24,claude-code-workflow
t10_opus5_low_canonical.json,T10,opus5,low,canonical,7,7,0.1168,False,8.2,753,2026-07-24,claude-code-workflow
t10_opus5_low_s1.json,T10,opus5,low,s1,7,7,,True,,,2026-07-24,claude-code-workflow
t10_opus5_low_s2.json,T10,opus5,low,s2,7,7,,True,,,2026-07-24,claude-code-workflow
t10_opus5_max_grid.json,T10,opus5,max,grid,7,7,0.1384,False,15.9,1618,2026-07-25,claude-code-workflow
